OrganizationName,Industries,HeadquartersLocation,Description,CBRank,PostalCode,EstimatedRevenueRange,OperatingStatus,FoundedDate,ExitDate,ClosedDate,Company Type,Website,NumberOfFounders,NumberOfEmployees,NumberOfFundingRounds,TotalEquityFundingAmount,TotalFundingAmount,Top5Investors,FullDescription,LastFundingAmount,LastFundingDate,NumberOfInvestors,FundingStatus,LastFundingType,
Innok Robotics Logo Innok Robotics,"Agriculture , Artificial Intelligence (AI) , Industrial Automation , Robotics","Münchsried , Bayern , Germany",Innok Robotics makes robots that assist humans in their work.,"59,076",93164,—,Active,2012,—,—,For Profit,www.innok-robotics.de/,—,1-10,1,"5,000,000.00 €","5,000,000.00 €","Prolimity Capital Partners , Heinz Ferchau",Innok Robotics make robots that assist humans in their work. Their robots facilitate the work of their customers and take dangerous work out of their hands. They transfer forward-looking research into present and reliable technology.,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"5,000,000.00 €","Dec 22, 2022",2,Seed,Seed,,,,,,,,,,,,,,,,,,,,,
Innoplexus Logo Innoplexus,"Analytics , Artificial Intelligence (AI) , Blockchain , Information Technology , Life Science , Machine Learning , Pharmaceutical","Eschborn , Hessen , Germany",Innoplexus™ - AI and Blockchain powered data analytics solutions help the life science industry gain real-time access to relevant insights,"134,378",—,$10M to $50M,Active,"Sep 26, 2011",—,—,For Profit,www.innoplexus.com,2,251-500,3,—,—,"ATAI Life Sciences , FinLab , Block.one , Christian Angermayer , EOS VC Fund","At INNOPLEXUS we are helping organisations move to continuous decision-making by generating broader, deeper and faster insights from structured and unstructured private and public data leveraging cutting-edge, patented Artificial Intelligence, Blockchain and advanced analytics technologies. We aim to transform batch decision making in enterprises into a empowered, inspired and faster continuum.  We focus on industries that need to constantly evaluate and improve their efficiency, reduce cost and mitigate risk to keep up with the changing business environment - like global banking, life sciences, and pharmaceutical companies.  In addition to strengthening research efforts, we work to help healthcare organizations leverage technologies to expedite drug development process across all stages - preclinical, clinical, regulatory and commercial. Whether a drug developer is seeking existing research, a medical researcher is searching for alternative treatments, or a practitioner is attempting to find data on a particular disease - increasing access to relevant information removes roadblocks to discovery and fuels rapid growth. Our Data as a Service (DaaS) and Continuous Analytics as a Service (CaaS) solutions are helping Fortune 500 companies drive business outcomes. We automate the collection, curation, aggregation and analysis, of billions of data points from thousands of data sources, using machine learning, network analysis, ontologies, computer vision and entity normalization. Founded in 2015, INNOPLEXUS AG is headquartered in Eschborn Germany with offices in Pune, India, and Hoboken, USA.",—,"Apr 24, 2019",6,Late Stage Venture,Series C,
innoSEP Logo innoSEP,"Analytics , Artificial Intelligence (AI) , Information Technology , Machine Learning , Software","Hanover , Niedersachsen , Germany","""Democratizing industrial AI” - no-code Analytics Platform to become a Citizen Data Scientist","647,519",—,Less than $1M,Active,"Jul 1, 2016",—,—,For Profit,www.innosep.ai,2,11-50,1,—,—,—,"innoSEP operates a collaborative no-code Analytics platform for the entire industrial analytics lifecycle to empower industrial experts to become citizen data scientist. Industrial Experts can build, deploy, and maintain their specific industrial AI Apps in self-service and no-code through a visual interface, role-oriented workflow, and guided product modules. It unites modern software technologies and dedicated engineering functionality to overcome complexity drivers in industrial applications.",—,"Aug 1, 2018",—,Seed,Pre-Seed,
INNOSPOT Logo INNOSPOT,"Artificial Intelligence (AI) , Information Technology , Machine Learning , Market Research , Natural Language Processing","Munich , Bayern , Germany",INNOSPOT is a technology company specializing in scouting startups around the world using artificial intelligence.,"393,821",80637,Less than $1M,Active,2017,Feb 2021,—,For Profit,innospot.de/,1,11-50,—,—,—,—,"INNOSPOT is a technology company specializing in scouting startups around the world using artificial intelligence based search and crawler technology.They are passionate about inventions, new technologies and progress that affects their world in a positive way. With the goal of always creating added value for their customers and their society, they promote and live meaningful innovations.",—,—,—,M&A,—,
innovative software businesses Logo innovative software businesses,"Artificial Intelligence (AI) , Cyber Security , Software , Software Engineering","Friedrichshafen , Baden-Wurttemberg , Germany",innovative software businesses is an engineering service provider for automotive and electronics sectors.,"2,531,414",88046,—,Active,1996,—,—,For Profit,www.isb-fn.de,—,—,—,—,—,—,"innovative software businesses provides frontend development, backend development, software testing, requirement management, validation, cybersecurity, data Sciencedeep learning, machine learning, and artificial intelligence.",—,—,—,—,—,
inopla GmbH Logo inopla GmbH,"Cloud Infrastructure , Intelligent Systems , Telecommunications","Düsseldorf , Nordrhein-Westfalen , Germany","inopla GmbH is improving Intelligent telecommunications for modern companies - flexible, individual, sustainable, and 100% CO2-neutral.","1,252,564",40589,—,Active,2008,—,—,For Profit,www.inopla.de,—,1-10,—,—,—,—,—,—,—,—,—,—,
Insaas Logo Insaas,"Artificial Intelligence (AI) , Machine Learning , Natural Language Processing , Software","Munich , Bayern , Germany","Insaas is a developer of software applications for marketing purposes, market research, and product development.","454,657",81245,Less than $1M,Active,2019,—,—,For Profit,insaas.ai,—,1-10,1,—,—,Tenity,"Insaas offers natural language processing, machine learning, customer feedback, personalization, artificial intelligence, opinion analysis, sentiment analysis, market insights, industry benchmarks, and marketing automation services.",—,"Aug 31, 2022",1,—,Non-equity Assistance,
Inside M2M Logo Inside M2M,"Artificial Intelligence (AI) , Information Services , Information Technology , Machine Learning","Garbsen , Niedersachsen , Germany",Inside M2M delivers complete solutions in the area of machine-to-machine communication.,"1,714,689",—,$1M to $10M,Active,"Jan 1, 2004",—,—,For Profit,www.inside-m2m.de/language/en/home-2/,—,11-50,—,—,—,—,—,—,—,—,—,—,
INSOURCD Logo INSOURCD,"Advertising , Analytics , Machine Learning","Rellingen , Schleswig-Holstein , Germany","INSOURCD is a digital marketing company that specializes in digital analytics, machine learning, and analytics services.","2,044,486",25462,$1M to $10M,Active,2019,—,—,For Profit,insourcd.de,—,1-10,—,—,—,—,—,—,—,—,—,—,
Inspirient Logo Inspirient,"Analytics , Artificial Intelligence (AI) , Business Intelligence , Machine Learning , SaaS","Berlin , Berlin , Germany","Inspirient automates the analysis of business data by autonomously mining raw data for relevant, management-ready insights.","140,370",14195,Less than $1M,Active,2016,—,—,For Profit,www.inspirient.com,2,1-10,4,—,"503,253.00 €","Federal Ministry for Economic Affairs and Energy (BMWi) , Scheer , Federal Ministry of Transport and Digital Infrastructure","At Inspirient, we help companies to unlock the value hidden in their data by intelligently surfacing relevant insights within minutes. We use Artificial Intelligence (AI) to fully automate the analysis of business data, from raw tabular data to prioritized, presentation-ready results.Our AI comfortably analyses survey / polling data and customer feedback, financial records and transaction streams, and operational data as well as sensor measurements. With our end-to-end automated approach, our clients increase the effectiveness of their analytics processes by up to two orders of magnitude — allowing their analysts and data scientists to focus on value-adding deep-dives — and discover new insights in their data beyond human intuition.",—,"Apr 27, 2021",3,—,Corporate Round,
Inspora Logo Inspora,"Artificial Intelligence (AI) , E-Commerce , Fashion , Messaging , Virtual Assistant","Berlin , Berlin , Germany",The digital shopping assistant for fashion brands & retailers,"736,141",—,—,Active,2017,—,—,For Profit,www.inspora.com/business,1,1-10,4,—,—,"Investitionsbank des Landes Brandenburg , EXIST","Until now, online shops haven't been able to offer the level of personalized fashion advice available in brick-and-mortar stores.Inspora brings fashion guidance to every online shop, with a digital shopping assistant that automatically leads each individual customer through the shopping process - from finding the right style to searching for outfits and products to checking out. The result: satisfied customers and more sales for online shops.Brands and retailers can integrate Inspora into their online shop as a chat widget, tailored exclusively to their functional requirements, product range and branding. Inspora is the first solution developed specifically for the fashion industry, using artificial intelligence and chatbot technology, that draws on the digitalized knowledge of hundreds of human personal stylists, allowing fully automatic fashion advice to be offered for the first time.The German Federal Ministry for Economic Affairs awarded Inspora with the EXIST Business Start-up Grant for its innovative technology.- Tagesspiegel: ""What on earth am I going to wear? Inspora provides fashion-conscious women with the answer to this question with the help of artificial intelligence.”- Berliner Zeitung: “Chatting with Inspora is fun and a useful source of inspiration for women of all ages.“- Handelsblatt: ""It took six months to develop the algorithm, which drew on the experience of over 100 human stylists.""​- The Federal Government: ""Inspora is in fact a machine. Nevertheless, it is a likeable fashion fanatic and personal assistant – thanks to artificial intelligence (AI).""",—,"Aug 20, 2017",2,Seed,Seed,
Insurers.ai Logo Insurers.ai,"Artificial Intelligence (AI) , Information Technology , Insurance , Machine Learning","Cologne , Nordrhein-Westfalen , Germany",insurers.ai is offering AI services and developing custom AI solutions.,"1,341,878",50670,—,Active,2016,—,—,For Profit,insurers.ai,1,1-10,—,—,—,—,—,—,—,—,—,—,
Intelligent Recommendations Logo Intelligent Recommendations,"Finance , Financial Services , FinTech , Information Technology , Intelligent Systems","Hamburg , Hamburg , Germany",Intelligent Recommendations is the world's first investment recommendation system based on collective intelligence.,"2,259,104",—,Less than $1M,Active,2009,—,—,For Profit,www.ir-system.com,—,11-50,—,—,—,—,"Intelligent Recommendations GmbH is an innovative globally scalable finance 2.0-Company and gives the private investor a direction for a profitable financial investment, an online service unaffected by the banking industry.",—,—,—,—,—,
intelligent views Logo intelligent views,"Artificial Intelligence (AI) , Big Data , Semantic Search","Darmstadt , Hessen , Germany","Smart data engine, white box KI","1,265,988",64293,$1M to $10M,Active,"Nov 12, 1997",Dec 2019,—,For Profit,www.i-views.com,3,11-50,1,—,—,DIH Deutsche Industrie-Holding GmbH,"intelligent views gmbh is one of the leading providers of semantic technologies and applications in the German-speaking region. The company produces the i-views Smart Data Engine, which provides customers with an easy and flexible way of creating smart data networks, thus increasing the value of their data.Due to team spirit and innovative thinking, the software portfolio is continually growing. One example is the dynamic content delivery portal, i-views content, which customers can use to prepare customised content without much effort.",—,"Jul 18, 2016",1,M&A,Private Equity,
Internet of Voice Logo Internet of Voice,"Artificial Intelligence (AI) , Digital Entertainment , Digital Marketing , Digital Media , Human Computer Interaction , Internet of Things , Software , Software Engineering , Virtual Assistant , Web Development","Cologne , Nordrhein-Westfalen , Germany","Experts, Consulting, Software and Products for intelligent Digital Voice Assistents","1,832,984",50858,—,Active,Sep 2016,—,—,For Profit,internet-of-voice.de,1,1-10,—,—,—,—,"Full know how service provider and manufacturer for digital voice asisstents like Amazon Alexa, Google Assistent, Apple Siri and more...",—,—,—,—,—,
IntraFind Software Logo IntraFind Software,"Artificial Intelligence (AI) , Developer APIs , Information Technology , Product Design , Software","Munich , Bayern , Germany",IntraFind Software is an information technology and services company. It is a software manufacturer and specialist in enterprise search.,"357,557",80687,—,Active,2000,—,—,For Profit,www.intrafind.com,—,51-100,—,—,—,—,"IntraFind Software is an information technology and services company. It is specialized in enterprise search, text analytics, semantic search, metadata generation, artificial intelligence, insight engines, linguistics, and more. It is a software manufacturer and specialist in enterprise search and ai-based information networking. This brings more motivation to employees and helps companies to be more efficient. They offer the right search and analysis products for authorities and companies of all sizes and in all industries.",—,—,—,—,—,
INTRANAV Logo INTRANAV,"Artificial Intelligence (AI) , Indoor Positioning , Industrial Automation , Information Technology , Internet of Things , Logistics , SaaS , Software , Supply Chain Management","Eschborn , Hessen , Germany","INTRANAV is an industrial IoT platform to build RTLS UWB based applications for supply chain visbility, optimization & navigation.","57,162",65760,$1M to $10M,Active,2014,"Dec 9, 2021",—,For Profit,intranav.com,2,11-50,2,"5,900,000.00 €","5,900,000.00 €","LEA Partners , TEV Ventures , Vito Ventures","The industrial Internet of Things opens the way to the revolution of industry 4.0. INTRANAV opens up and enables the improvement of products and processes in terms of costs, time and quality with the INTRANAV Platform & Technology. The pre-build Software modules include, for example, process automation, the navigation of automated guided vehicle systems (AGV), RTLS based route-optimization, plant tracking, yard management, fleet management, process mapping, process analysis and safety management. INTRANAV offers a turnkey RTLS platform based on UWB, NB-IoT and 5G, which provides all components and services for your Smart-Factory. Customers can easily build own RTLS Apps on the IntraNav.IO Platform with zero-code using an easy to learn visual programming language.","4,000,000.00 €","Apr 18, 2019",3,M&A,Series A,
intuitive.AI GmbH Logo intuitive.AI GmbH,"Artificial Intelligence (AI) , Business Intelligence , Machine Learning , Software","Hamburg , Hamburg , Germany",We deliver Augmented Intelligence solutions to foster informed decision making in your organization,"393,325",20459,—,Active,"Jun 24, 2019",—,—,For Profit,www.intuitive-ai.de,1,11-50,—,—,—,—,—,—,—,—,—,—,
inveox Logo inveox,"Artificial Intelligence (AI) , Biotechnology , Health Care , Information Technology , Medical","Garching Bei München , Bayern , Germany","Automating histopathology, making cancer diagnoses faster, safer and more reliable.","122,760",85748,—,Active,Feb 2017,—,—,For Profit,inveox.com/,2,51-100,1,"17,000,000.00 €","17,000,000.00 €",—,"inveox is a Munich-based company with the goal of making cancer diagnoses faster, safer, and more reliable. In today’s labs, tissue samples (biopsies) are subject to anywhere between 1-15% chance of mix-ups, contamination or loss. But our products are designed to work as a cohesive unit to make this a thing of the past and create the lab of the future. In addition, we bring big data, AI and machine learning to labs in order to provide better research data for scientists so they can eradicate cancer.","17,000,000.00 €","Aug 6, 2019",—,Early Stage Venture,Series A,
INWT Statistics Logo INWT Statistics,"Artificial Intelligence (AI) , Data Visualization , Machine Learning , Predictive Analytics","Berlin , Berlin , Germany","INWT Statistics is a data analytics company that specializes in data science, machine learning, and AI solutions.","1,702,846",10827,$10M to $50M,Active,2011,—,—,For Profit,www.inwt-statistics.de,—,11-50,—,—,—,—,—,—,—,—,—,—,
ionder Logo ionder,"Big Data , Cloud Data Services , Cyber Security , Information Technology , Internet of Things , Machine Learning","Emden , Niedersachsen , Germany","ionder specializes in cloud, security, business applications, intelligent platforms, machine learning, big data, analytics, and IoT.","971,114",—,—,Active,2022,—,—,For Profit,www.ionder.com,—,51-100,—,—,—,—,—,—,—,—,—,—,
IoTAL Logo IoTAL,"Artificial Intelligence (AI) , Cloud Infrastructure , Cyber Security , Data Integration , IaaS , Machine Learning , Railroad , Real Time , Smart Cities , Software","Berlin , Berlin , Germany",The data engineering company. Turning your big data into valuable information.,"684,793",12247,—,Active,"Jan 2, 2021",—,—,For Profit,iotal.io,1,1-10,1,—,—,VentureOut,"IoTAL provides powerful AI data engineering solutions. In short, we connect, collect and prepare.We power large-scale and complex API, microservices & edge computing projects using the next generation of data architectures.Get in touch to find out more about our innovative enterprise tools.",—,"Sep 12, 2022",1,—,Non-equity Assistance,
iotis Logo iotis,"Artificial Intelligence (AI) , Gaming , Internet of Things , Soccer , Software , Sporting Goods , Wearables","Hanover , Niedersachsen , Germany",Smart-Soccer Consumer IoT System,"94,640",30519,—,Active,"Jul 8, 2021",—,—,For Profit,iotis.tech/,4,11-50,2,"2,150,000.00 €","2,150,000.00 €","VentureOut , adesso ventures , Hannover Beteiligungsfonds , Mittelständische Beteiligungsgesellschaft Niedersachsen (MBG) , TELCOMEDIA CREATIONS",We offer a simple-to-use stand-alone consumer IoT product to improve players whilst having a highly gamified emotional training experience based on real-time feedback.We motivate players to be more active again in the real world by leveraging technology playfully.GET BETTER and HEALTHIER FASTER!,—,"Dec 5, 2022",5,Seed,Non-equity Assistance,
IPlytics Logo IPlytics,"Analytics , Artificial Intelligence (AI) , Big Data , Information Technology , Intellectual Property , Machine Learning , SaaS , Software , Text Analytics","Berlin , Berlin , Germany",IPlytics develops the intellectual property (IP) intelligence solution IPlytics Platform,"198,804",10999,—,Active,"Mar 5, 2013","Nov 9, 2022",—,For Profit,www.iplytics.com,1,11-50,8,—,—,"VentureOut , High-Tech Grunderfonds , eCAPITAL ENTREPRENEURIAL PARTNERS , Microsoft Accelerator , Data Pitch","IPlytics is based in Berlin and was founded by a team of economists, data scientists and Artificial Intelligence (AI) engineers. The interdisciplinary team combines knowledge about patent valuation methods, Natural Language Processing and Artificial Intelligence developing the intellectual property (IP) intelligence solution IPlytics Platform.IPlytics is the first solution on the market to bring together comprehensive, highly indexed global patent data, declared standard essential patents, patent pools and standards contribution data, to provide industry-leading analysis on the past, present and future of technology. Unlike other tools that are overly complex, IPlytics provides fast, intuitive access to patents and standards to empower the user to strategically align patent portfolios to protect innovations and proactively engage in continuous strategic portfolio development as it relates to SEP assets, for initiatives such as licensing, acquisitions and joining patent pools, or to understand the respective positions of the competition. The next technology revolution will connect everything making it even more challenging to understand how technologies and IP rights overlap. IP professionals need to rethink – even revolutionize – how to approach both patent and standards data, to provide business-ready insights for actionable decision making across the organization.IPlytics Platform adds value in a scenario in which technology or intellectual property management teams are short-staffed and have time constrains and budgetary limits in gaining access to multiple databases for their analyses and strategic conclusions. Such teams leverage the power of an integrated, intelligent interface and base their recommendations on the intelligent searching and analysis capabilities of IPlytics Platform.",—,"Dec 12, 2019",7,M&A,Non-equity Assistance,
iqast Logo iqast,"Artificial Intelligence (AI) , Information Technology , Software","Hamburg , Hamburg , Germany",iqast specializes in artificial intelligence for forecasting.,"502,631",22041,—,Active,2010,—,—,For Profit,iqast.de,1,1-10,—,—,—,—,—,—,—,—,—,—,
irisnet Logo irisnet,"Artificial Intelligence (AI) , Image Recognition , Real Time , Software","Düsseldorf , Nordrhein-Westfalen , Germany",irisnet is a startup company specializing in artificial intelligence for processing videos and images in real-time.,"923,219",DE-40547,—,Active,2021,—,—,For Profit,irisnet.de,—,—,—,—,—,—,irisnet is a startup company specializing in artificial intelligence for processing videos and images in real-time. The company specializes in the development of AIs based on neural networks. They are developing AI-based image and video processing products with the following main areas of expertise like gesture recognition for sign language processing and youth protection for real-time social service profile checks and face recognition for realtime personal privacy in videos and GDPR compliance.,—,—,—,—,—,
items GmbH Logo items GmbH,"Artificial Intelligence (AI) , Information Technology","Muenster , Nordrhein-Westfalen , Germany","items GMBH offers IT infrastructure, consulting and process services with a focus on cooperation platforms, IoT, AI products and robotics.","539,415",48155,—,Active,1999,—,—,For Profit,www.itemsnet.de,—,251-500,—,—,—,—,—,—,—,—,—,—,
itmX GmbH Logo itmX GmbH,"Artificial Intelligence (AI) , Construction , CRM , Marketing","Pforzheim , Baden-Wurttemberg , Germany",ItmX develops CRM and commerce solutions with digital assistants using artificial intelligence.,"433,328",—,—,Active,2020,—,—,For Profit,itmx.de/vertrieb-machen-sie-aus-ihren-leads-beg...,—,101-250,—,—,—,—,"ItmX develops CRM and commerce solutions with digital assistants using artificial intelligence.It offers services in business areas such as marketing, distribution, service, modern workplace, and credentials. And the core industries are mechanical and plant engineering, construction and construction suppliers, and trade.It was founded in 2020 and is based in Pforzheim, Germany.",—,—,—,—,—,
ITyX Solutions AG Logo ITyX Solutions AG,"Artificial Intelligence (AI) , Enterprise Software , Information Technology , Professional Services , Software","Cologne , Nordrhein-Westfalen , Germany",ITyX Solutions AG is a specialized company in the intelligent digitization of font-based communication.,"405,354",51149,$50M to $100M,Active,1996,—,—,For Profit,www.ityx.de/,—,51-100,—,—,—,—,ITyX Solutions AG is a specialized company in the intelligent digitization of font-based communication. Their AI platform removes employees from manual routine methods and designs space for workplaces full of creativity and difference.,—,—,—,—,—,
IUNA.AI,Artificial Intelligence (AI),"Untergruppenbach , Baden-Wurttemberg , Germany",IUNA.AI provides AI vision systems for industrial manufacturing.,"906,433",74199,—,Active,Jun 2020,—,—,For Profit,iuna.ai/,—,—,1,—,—,Campus Founders,"IUNA.AI provide image processing systems for industrial production services. They also provide automated testing, IUNA auto scanner, multi-camera system, visual inspection tasks, and CAD coordinates.",—,"Apr 7, 2022",1,Seed,Pre-Seed,
izz.ai Logo izz.ai,"Artificial Intelligence (AI) , Machine Learning , Software","Grünwald , Bayern , Germany","Izz.ai is a software development company that provides machine learning, artificial intelligence, and data migration services.","1,082,736",82031,—,Active,2016,—,—,For Profit,www.izz.ai,—,11-50,—,—,—,—,—,—,—,—,—,—,
j&s-soft Logo j&s-soft,"Cloud Computing , Consulting , Machine Learning , Software","Heidelberg , Baden-Wurttemberg , Germany",j&s-soft offers SAP consulting services.,"2,459,035",69115,$1M to $10M,Active,2003,—,—,For Profit,www.js-soft.com,—,11-50,—,—,—,—,"j&s-soft provides SAP HCM, SAP S/4HANA, SAP cloud platform, SAP gateway, SAPUI5, SAP fiori, consulting, SAP PO/PI, integration technology, and machine learning services. They also offer digital blueprint using their digital enabler method.",—,—,—,—,—,
Jakubowski Software Logo Jakubowski Software,"Database , Information Technology , Machine Learning , Software","Korschenbroich , Nordrhein-Westfalen , Germany",Jakubowski Software develop software and database development firm.,"2,911,038",41352,$1M to $10M,Active,2000,—,—,For Profit,ja-so.de,—,1-10,—,—,—,—,"Jakubowski Software offers database design and development, custom software development with .net, backend programming, performant design, machine learning and image processing, and database performance enhancement.",—,—,—,—,—,
Janus Genomics Logo Janus Genomics,"Artificial Intelligence (AI) , Biotechnology , Medical , Software","Berlin , Berlin , Germany",Janus Genomics is a company that builds AI tools for sharing of biomedical data while preserving data privacy.,"188,258",12435,—,Closed,2018,—,—,For Profit,www.janus-genomics.com/,2,1-10,1,"100,000.00 €","100,000.00 €",Entrepreneur First,"Janus Genomics is developing a platform that allows training of algorithms on a combination of different biomedical datasets. The technology enables companies to monetize their data and keep it private. Janus Genomics has received support and was accelerated by Entrepreneurs First, Max Plank Intitute and University of Regensburg.","100,000.00 €","Jun 1, 2018",1,Seed,Seed,
Jeeny.ai Logo Jeeny.ai,"Artificial Intelligence (AI) , Information Technology , Productivity Tools , Software","Charlottenburg , Berlin , Germany",Jeeny.ai is a platform that curates custom and collaborative learning experiences for workers and teams that grow their true potential.,"708,797",183275,—,Active,2021,—,—,For Profit,www.jeeny.ai/,—,1-10,—,—,—,—,—,—,—,—,—,—,
Jina AI Logo Jina AI,"Artificial Intelligence (AI) , Cloud Data Services , Machine Learning , Open Source , Software","Berlin , Berlin , Germany",Empowering businesses and developers to build neural search solutions in minutes at scale.,"6,829",10117,$1M to $10M,Active,"Feb 1, 2020",—,—,For Profit,jina.ai,2,11-50,3,"$37,500,000","$37,500,000","Mango Capital , Yunqi Partners , GGV Capital , Canaan Partners , SAP.iO","Jina AI is a neural search company that provides cloud-native neural search solutions powered by AI and deep learning. It provides an open-source neural search ecosystem for businesses and developers, enabling everyone to search for information in all kinds of data with high availability and scalability.","$30,000,000","Nov 22, 2021",5,Early Stage Venture,Series A,
JobBot.me Logo JobBot.me,"Artificial Intelligence (AI) , Human Resources","Berlin , Berlin , Germany",JobBot is an AI powered HR bot pioneer. He helps humans to find new jobs and helps companies to hire talents all around the world.,"656,806",10178,—,Active,"Aug 1, 2016",—,—,For Profit,www.jobbot.me,1,—,—,—,—,—,—,—,—,—,—,—,
Joblift Logo Joblift,"Artificial Intelligence (AI) , Online Portals , Recruiting","Berlin , Berlin , Germany",Joblift is a job search platform providing candidates with the most intuitive and frictionless experience during the recruiting process.,"19,714",10119,$1M to $10M,Active,2015,—,—,For Profit,joblift.com,1,101-250,5,"25,000,000.00 €","25,000,000.00 €","b2venture (formerly btov Partners) , DN Capital , Picus Capital , Cherry Ventures , Redline Capital",Joblift is a meta-search platform providing job seekers with the most intuitive and frictionless experience during the recruiting process. They apply latest machine learning techniques and big-data based algorithms in order to offer their users matching job vacancies that truly matter to them.,"15,000,000.00 €","Aug 19, 2019",9,Early Stage Venture,Series B,
jobpal Logo jobpal,"Artificial Intelligence (AI) , Chatbot , Human Resources , Information Technology , Mobile , Natural Language Processing , Recruiting , Software","Berlin , Berlin , Germany",jobpal build custom chatbots that facilitate the engagement between companies and candidates.,"63,915",12045,$1M to $10M,Active,"Jun 1, 2016","Nov 12, 2020",—,For Profit,jobpal.ai,3,11-50,2,"2,500,000.00 €","2,500,000.00 €","InReach Ventures , Acadian Ventures , Unifier Ventures","At jobpal, they build AI-powered chatbots for the recruiting and talent acquisition use case that automate the communication between employers and candidates. Their goal is to fundamentally change the candidate experience and make the hiring process more efficient. The company was founded in 2016 by the three friends Luc Dudler, Christoph Güldenberg and Andriy Martyniv in Berlin, shortly after Facebook announced opening up the Messenger Platform for chatbots. jobpal’s chatbots are capable of automating frequently asked questions, candidate engagement, pre-screening, interview logistics and more - supporting recruiters and giving them back more time to get face-to-face with relevant candidates quicker and with less effort.","2,500,000.00 €","Oct 1, 2019",3,M&A,Seed,
JobsNavi Logo JobsNavi,"Apps , Artificial Intelligence (AI) , Information Technology , Machine Learning , Recruiting","Chemnitz , Sachsen , Germany",Jobsnavi is a mobile app that uses automated algorithms and artificial intelligence to automatically match applicants with vacancies.,"337,722",9120,—,Active,2019,—,—,For Profit,jobsnavi.de/,—,—,—,—,—,—,Jobsnavi is a mobile app that uses automated algorithms and artificial intelligence to automatically match applicants with vacancies.,—,—,—,—,—,
Journalendar Logo Journalendar,"Artificial Intelligence (AI) , Education , Information Technology , Machine Learning , Software","Berlin , Berlin , Germany",Journalendar applies machine learning to task management to help professionals never missing a deadline.,"2,653,366",—,$1M to $10M,Closed,—,—,—,For Profit,www.journalendar.com,2,1-10,—,—,—,—,—,—,—,—,—,—,
Journee Logo Journee,"Artificial Intelligence (AI) , Augmented Reality , Enterprise Software , Human Computer Interaction , Internet , Software , Virtual Reality","Berlin , Berlin , Germany",Journee enables immersive online applications that deliver real business value for businesses worldwide.,"177,336",10115,—,Active,May 2020,—,—,For Profit,journee.live/,—,51-100,1,—,—,—,—,—,"May 1, 2022",—,—,Undisclosed,
JOYNEXT Logo JOYNEXT,"Automotive , Information Technology , Intelligent Systems , Software , Software Engineering","Dresden , Sachsen , Germany",JOYNEXT is a software and hardware development company.,"26,883",—,$1M to $10M,Active,2020,—,—,For Profit,www.joynext.com,—,101-250,2,"1,042,000,000.00 CN¥","1,042,000,000.00 CN¥","Cathay Capital Private Equity , F&G Venture , Ningbo Joyson Electronic , State Development & Investment Corporation , Ningbo Gaofa Automotive Control System",Joy Next is a smart cockpit and automobile systems platform.,"322,000,000.00 CN¥","May 16, 2022",6,Private Equity,Private Equity,
Juconn Logo Juconn,"Artificial Intelligence (AI) , Information Technology , Mobile Apps , Software","Unterföhring , Bayern , Germany","Juconn specializes in IoT plug & play solutions for processing, and AI-supported analysis.","108,542",—,—,Active,2018,—,—,For Profit,juconn.com,—,1-10,1,"3,500,000.00 €","3,500,000.00 €","Minnt , Grünwald Equity Partners",—,"3,500,000.00 €","Jun 20, 2023",2,Seed,Seed,
Jung Diagnostics Logo Jung Diagnostics,"Artificial Intelligence (AI) , Clinical Trials , Health Care , Health Diagnostics , Therapeutics","Hamburg , Hamburg , Germany",Jung Diagnostics is a neuroradiology and radiological practice that supports patient care with AI-supported radiological data analyses.,"531,188",22335,$1M to $10M,Active,2009,—,—,For Profit,www.jung-diagnostics.de,—,11-50,—,—,—,—,"Jung Diagnostics is a company that supports patient care by providing computerized analyses of neuro-radiological data. Their primary focus is in the field of neuroradiology, where they assist radiologists and neuroradiologists in detecting and diagnosing conditions. They also offer algorithms for MRI image analysis, which aids in the evaluation process.",—,—,—,—,—,
JUPUS Logo JUPUS,"Artificial Intelligence (AI) , Legal Tech","Berg , Bayern , Germany",JUPUS uses AI to automate the whole client-intake process for lawyers and consultants.,"53,907",53505,—,Active,2022,—,—,For Profit,website.jupus.de,1,1-10,2,"500,000.00 €","500,000.00 €","Carcharodon Capital , Felix Plog , Ingo Weber , Stefan C. Schicker , Philipp Hammerich",JUPUS uses AI to automate the whole client-intake process for lawyers and consultants.,"500,000.00 €","Jan 30, 2023",5,Seed,Seed,
JUST ADD AI Logo JUST ADD AI,"Artificial Intelligence (AI) , Chatbot , Information Technology , Robotics , Software","Bremen , Bremen , Germany","JUST ADD AI is an IT company that designs and develops scalable AI solutions for email routing, chatbots, and robotics.","517,413",28217,$1M to $10M,Active,2017,—,—,For Profit,www.justadd.ai/,—,51-100,—,—,—,—,—,—,—,—,—,—,
